Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,Vendor,Brand,Dosage Form,Manufacturing Site,First Line Designation,Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),scheduled_year,scheduled_month,scheduled_quarter,delay_days,delayed
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Pediatric,S. BUYS WHOLESALER,Videx,Chewable/dispersible tablet,"BMS Meymac, France",Yes,6,77.1,,,2008,4,2,-18,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,5498,439785.02,1251.0,16090.22,2008,7,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,Yes,5498,54.98,,,2008,7,3,-5,0
Ethiopia,PMO - US,Direct Drop,DDP,Air,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,15,691.42,,,2008,5,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,Yes,1344,18359.04,1537.0,13507.92,2008,9,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Zerit,Capsule,"BMS Meymac, France",Yes,20,103.4,,,2008,8,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Videx EC,Delayed-release capsules - blister,"BMS Meymac, France",Yes,100,1906.0,,,2008,8,3,-104,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,Powder for oral solution,"BMS Meymac, France",No,670,1025.1,,,2008,8,3,-104,0
Tanzania,PMO - US,Direct Drop,CIP,Air,ARV,Adult,BRISTOL-MYERS SQUIBB,Videx EC,Delayed-release capsules - blister,"BMS Meymac, France",Yes,2597,61470.99,117.0,645.1,2008,9,3,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,28,9800.0,109.0,782.13,2008,9,3,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",Yes,84,11676.0,54.0,871.57,2008,11,4,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Ziagen,Tablet - blister,GSK Ware (UK),Yes,30,1049.4,,,2008,6,2,-3,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,"Aurobindo Unit III, India",Yes,38640,92736.0,2719.0,18614.72,2008,9,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Coartem,Tablet - FDC + blister,"Novartis Pharma AG, Switzerland",Yes,34,1547.68,115.0,1755.87,2009,2,1,-169,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,"Aurobindo Unit III, India",Yes,42000,60900.0,2600.0,10179.16,2008,10,4,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Viramune,Oral suspension,"BI, Ingelheim, Germany",Yes,50,696.5,,,2008,7,3,-2,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,Yes,16800,171192.0,1224.0,4686.88,2008,11,4,0,0
Guyana,PMO - US,Direct Drop,CIP,Air,MRDT,Malaria,ZEPHYR BIOMEDICALS,Paramax,Test kit,Not Applicable,Yes,98,3675.0,34.0,180.0,2008,8,3,0,0
Zambia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,4500,323955.0,1053.0,11062.05,2008,10,4,0,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,10,320.0,,,2008,9,3,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,Test kit,Bio-Rad Laboratories,Yes,500,38000.0,562.0,11298.13,2008,10,4,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Generic,Tablet - FDC + co-blister,Ipca Dadra/Nagar Haveli IN,Yes,25000,9750.0,1708.0,12830.91,2009,1,1,0,0
Nigeria,PMO - US,Direct Drop,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,Tablet - FDC,"MSD, Haarlem, NL",Yes,9,453.6,,,2009,3,1,29,1
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,150,10798.5,46.0,2698.04,2008,10,4,0,0
Botswana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc",Uni-Gold,Test kit - Ancillary,"Trinity Biotech, Plc",Yes,15,450.0,1.0,578.01,2008,11,4,0,0
Zambia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,"Standard Diagnostics, Korea",Yes,319,6380.0,100.0,1122.24,2009,1,1,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Viread,Tablet,"Aspen-OSD, Port Elizabeth, SA",Yes,80,1830.4,,,2009,5,2,-220,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Viread,Tablet,"Aspen-OSD, Port Elizabeth, SA",Yes,120,2745.6,,,2009,5,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,Powder for oral solution,"BMS Meymac, France",No,600,858.0,,,2009,5,2,-220,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Videx,Chewable/dispersible tablet,"BMS Meymac, France",No,7,91.35,,,2009,5,2,-220,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Kaletra,Oral solution,ABBVIE (Abbott) Logis. UK,No,40,1375.6,,,2009,5,2,-220,0
Guyana,PMO - US,Direct Drop,CIP,Air,MRDT,Malaria,ZEPHYR BIOMEDICALS,Paramax,Test kit,Not Applicable,Yes,108,4050.0,,,2009,2,1,0,0
Tanzania,PMO - US,Direct Drop,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,Tablet - FDC,"MSD, Haarlem, NL",Yes,50000,2520000.0,4093.0,9339.0,2009,4,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,ANTM,Malaria,IDA FOUNDATION,Generic,Injection,Gland Pharma Ltd Pally Factory,Yes,140,2731.4,5209.0,25405.22,2009,3,1,0,0
Mozambique,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,5700,182400.0,1906.0,23914.8,2009,3,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet - FDC,"Aurobindo Unit III, India",Yes,5964,51350.04,3509.0,12835.2,2009,4,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,"Aurobindo Unit III, India",No,21000,50400.0,,,2009,4,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,Tablet - FDC,"Cipla, Goa, India",Yes,10560,72864.0,924.0,4225.93,2009,3,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet - FDC,"Aurobindo Unit III, India",Yes,2352,20250.72,211.0,892.5,2009,3,1,0,0
Tanzania,PMO - US,Direct Drop,FCA,Air,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Kaletra,Oral solution,ABBVIE (Abbott) Logis. UK,Yes,524,21536.4,644.0,6668.61,2009,5,2,0,0
Tanzania,PMO - US,Direct Drop,FCA,Air,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Generic,Tablet,ABBVIE Ludwigshafen Germany,Yes,2094,21526.32,237.0,,2009,5,2,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Premier Medical Corporation Ltd.,First Response,Test kit,Premier Med. Corp Ltd. India,Yes,8249,185602.5,2800.0,12595.81,2009,4,2,0,0
Nigeria,PMO - US,Direct Drop,CIP,Air,ARV,Adult,BRISTOL-MYERS SQUIBB,Videx EC,Delayed-release capsules - blister,"BMS Meymac, France",Yes,200,4734.0,11.0,463.0,2009,9,3,0,0
Haiti,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Chewable/dispersible tablet,"BMS Meymac, France",Yes,80,760.0,43.0,260.0,2009,3,1,0,0
Haiti,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Powder for oral solution,"BMS Meymac, France",No,32,402.88,,,2009,3,1,0,0
Haiti,PMO - US,Direct Drop,FCA,Air,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Generic,Tablet,ABBVIE Ludwigshafen Germany,Yes,46,472.88,10.0,893.22,2009,4,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",Yes,3025,47522.75,,,2009,3,1,-119,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Cipla, Goa, India",Yes,3500,49840.0,,,2009,4,2,-125,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Oral solution,"Aurobindo Unit III, India",No,1008,3588.48,,,2009,4,2,-125,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,Powder for oral solution,"BMS Meymac, France",Yes,960,1152.0,,,2009,5,2,-133,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Epivir,Oral solution,GSK Mississauga (Canada),Yes,1800,10512.0,,,2009,5,2,-133,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",Yes,1200,3384.0,,,2009,3,1,-130,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Oral solution,"Aurobindo Unit III, India",Yes,346,1954.9,,,2009,6,2,-65,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",Yes,5300,16642.0,,,2009,6,2,-20,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Oral solution,"Aurobindo Unit III, India",Yes,342,1932.3,,,2009,6,2,-8,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Zerit,Capsule,"BMS Meymac, France",Yes,2700,10665.0,,,2009,8,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Aluvia,Tablet,ABBVIE Ludwigshafen Germany,Yes,3735,134385.3,,,2009,6,2,-72,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Retrovir,Tablet,GSK Aranda,Yes,6000,80640.0,,,2009,6,2,-57,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",Yes,11672,35016.0,,,2009,6,2,-66,0
Botswana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,20,7000.0,48.0,1172.11,2009,11,4,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,ABBVIE Ludwigshafen Germany,Yes,10240,420864.0,2523.0,14806.48,2009,6,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,Capsule,ABBVIE (Abbott) Logis. UK,Yes,400,15344.0,175.0,7642.97,2009,7,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Kaletra,Oral solution,ABBVIE (Abbott) Logis. UK,Yes,30,1080.0,,,2009,7,3,-101,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Truvada,Tablet - FDC,"Aspen-OSD, Port Elizabeth, SA",Yes,80,2816.0,,,2009,5,2,-28,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",Yes,1000,19770.0,,3134.85,2009,5,2,-22,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,60,21000.0,144.0,3128.19,2009,9,3,0,0
Kenya,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,7500,600000.0,2215.0,16835.31,2009,7,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,6395,511600.0,1915.0,24514.33,2009,8,3,0,0
Rwanda,PMO - US,Direct Drop,CIP,Air,ARV,Adult,HETERO LABS LIMITED,Generic,Tablet,Hetero Unit III Hyderabad IN,Yes,55356,386384.88,4482.0,37404.74,2009,7,3,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,Test kit,Bio-Rad Laboratories,Yes,1000,110000.0,1101.0,8074.03,2009,9,3,0,0
Vietnam,PMO - US,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,Capsule,ABBVIE (Abbott) France,Yes,8,613.76,48.0,3366.04,2009,7,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet - FDC,"Aurobindo Unit III, India",Yes,3500,39025.0,1804.0,6341.88,2009,7,3,0,0
Botswana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,5,1750.0,12.0,684.42,2009,6,2,28,1
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Clearview,Test kit,Chembio Diagnostics Sys. Inc.,Yes,67,5025.0,48.0,401.97,2009,9,3,0,0
Vietnam,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Chewable/dispersible tablet,"BMS Meymac, France",Yes,400,2800.0,148.0,14.36,2009,7,3,0,0
